total_gold_earned_0, 42686
total_gold_spent_0, 36668
total_baron_kills_0, 0
total_dragon_kills_0, 3
total_inhibitor_kils_0, 0
total_kills_0, 31
total_deaths_0, 14
total_damage_dealt_to_champions_0, 61771
total_damage_dealt_to_objectives_0, 48939
total_damage_taken_0, 61375
average_vision_score_0, 18
total_wards_placed_0, 31
average_creep_score_0, 89
average_champion_experience_0, 9693
dmg_carry_0, 221
obj_carry_0, 221
team_comp_0_champ_1, Volibear
team_comp_0_champ_2, Warwick
team_comp_0_champ_3, Ahri
team_comp_0_champ_4, Zeri
team_comp_0_champ_5, Pantheon
total_gold_earned_1, 34163
total_gold_spent_1, 31728
total_baron_kills_1, 0
total_dragon_kills_1, 0
total_inhibitor_kils_1, 0
total_kills_1, 14
total_deaths_1, 31
total_damage_dealt_to_champions_1, 39351
total_damage_dealt_to_objectives_1, 17575
total_damage_taken_1, 75939
average_vision_score_1, 14
total_wards_placed_1, 32
average_creep_score_1, 85
average_champion_experience_1, 7884
dmg_carry_1, 50
obj_carry_1, 50
team_comp_1_champ_1, Sion
team_comp_1_champ_2, Ekko
team_comp_1_champ_3, Yasuo
team_comp_1_champ_4, Swain
team_comp_1_champ_5, Pyke
gameLengthMin, 0
dmg_to_champs_winner, 0
dmg_to_obj_winner, 0
vision_winner, 0
cs_winner, 0
champ_experience_winner, 0
wards_placed_winner, 1
gold_spender_winner, 0
final_match_winner, 0
