total_gold_earned_0, 42360
total_gold_spent_0, 41850
total_baron_kills_0, 0
total_dragon_kills_0, 0
total_inhibitor_kils_0, 0
total_kills_0, 19
total_deaths_0, 38
total_damage_dealt_to_champions_0, 53909
total_damage_dealt_to_objectives_0, 23372
total_damage_taken_0, 100945
average_vision_score_0, 16
total_wards_placed_0, 40
average_creep_score_0, 93
average_champion_experience_0, 9643
dmg_carry_0, 240
obj_carry_0, 240
team_comp_0_champ_1, Kled
team_comp_0_champ_2, Qiyana
team_comp_0_champ_3, Corki
team_comp_0_champ_4, Twitch
team_comp_0_champ_5, Xerath
total_gold_earned_1, 52869
total_gold_spent_1, 46135
total_baron_kills_1, 1
total_dragon_kills_1, 4
total_inhibitor_kils_1, 2
total_kills_1, 37
total_deaths_1, 19
total_damage_dealt_to_champions_1, 80818
total_damage_dealt_to_objectives_1, 88193
total_damage_taken_1, 75753
average_vision_score_1, 21
total_wards_placed_1, 42
average_creep_score_1, 92
average_champion_experience_1, 12310
dmg_carry_1, 131
obj_carry_1, 131
team_comp_1_champ_1, Garen
team_comp_1_champ_2, Diana
team_comp_1_champ_3, XinZhao
team_comp_1_champ_4, Caitlyn
team_comp_1_champ_5, Nami
gameLengthMin, 0
dmg_to_champs_winner, 1
dmg_to_obj_winner, 1
vision_winner, 1
cs_winner, 0
champ_experience_winner, 1
wards_placed_winner, 1
gold_spender_winner, 1
final_match_winner, 1
