total_gold_earned_0, 82368
total_gold_spent_0, 84280
total_baron_kills_0, 0
total_dragon_kills_0, 1
total_inhibitor_kils_0, 0
total_kills_0, 54
total_deaths_0, 79
total_damage_dealt_to_champions_0, 213750
total_damage_dealt_to_objectives_0, 39723
total_damage_taken_0, 228298
average_vision_score_0, 27
total_wards_placed_0, 67
average_creep_score_0, 144
average_champion_experience_0, 18546
dmg_carry_0, 41
obj_carry_0, 41
team_comp_0_champ_1, Gangplank
team_comp_0_champ_2, Nunu
team_comp_0_champ_3, Fizz
team_comp_0_champ_4, Lucian
team_comp_0_champ_5, Nami
total_gold_earned_1, 91772
total_gold_spent_1, 81800
total_baron_kills_1, 1
total_dragon_kills_1, 5
total_inhibitor_kils_1, 2
total_kills_1, 79
total_deaths_1, 54
total_damage_dealt_to_champions_1, 232230
total_damage_dealt_to_objectives_1, 116295
total_damage_taken_1, 306263
average_vision_score_1, 40
total_wards_placed_1, 75
average_creep_score_1, 132
average_champion_experience_1, 21321
dmg_carry_1, 238
obj_carry_1, 238
team_comp_1_champ_1, DrMundo
team_comp_1_champ_2, LeeSin
team_comp_1_champ_3, Zed
team_comp_1_champ_4, Caitlyn
team_comp_1_champ_5, Leona
gameLengthMin, 0
dmg_to_champs_winner, 1
dmg_to_obj_winner, 1
vision_winner, 1
cs_winner, 0
champ_experience_winner, 1
wards_placed_winner, 1
gold_spender_winner, 0
final_match_winner, 1
