total_gold_earned_0, 40401
total_gold_spent_0, 38110
total_baron_kills_0, 0
total_dragon_kills_0, 1
total_inhibitor_kils_0, 0
total_kills_0, 16
total_deaths_0, 38
total_damage_dealt_to_champions_0, 54465
total_damage_dealt_to_objectives_0, 15734
total_damage_taken_0, 103401
average_vision_score_0, 13
total_wards_placed_0, 34
average_creep_score_0, 85
average_champion_experience_0, 9589
dmg_carry_0, 15
obj_carry_0, 15
team_comp_0_champ_1, Kayle
team_comp_0_champ_2, Viego
team_comp_0_champ_3, Kassadin
team_comp_0_champ_4, Sivir
team_comp_0_champ_5, Xerath
total_gold_earned_1, 50981
total_gold_spent_1, 43860
total_baron_kills_1, 1
total_dragon_kills_1, 2
total_inhibitor_kils_1, 1
total_kills_1, 38
total_deaths_1, 17
total_damage_dealt_to_champions_1, 84767
total_damage_dealt_to_objectives_1, 64773
total_damage_taken_1, 86695
average_vision_score_1, 17
total_wards_placed_1, 41
average_creep_score_1, 84
average_champion_experience_1, 11997
dmg_carry_1, 164
obj_carry_1, 164
team_comp_1_champ_1, Camille
team_comp_1_champ_2, Nocturne
team_comp_1_champ_3, Brand
team_comp_1_champ_4, Ezreal
team_comp_1_champ_5, Yuumi
gameLengthMin, 25
dmg_to_champs_winner, 1
dmg_to_obj_winner, 1
vision_winner, 1
cs_winner, 0
champ_experience_winner, 1
wards_placed_winner, 1
gold_spender_winner, 1
final_match_winner, 1
