total_gold_earned_0, 62473
total_gold_spent_0, 59875
total_baron_kills_0, 0
total_dragon_kills_0, 1
total_inhibitor_kils_0, 0
total_kills_0, 30
total_deaths_0, 44
total_damage_dealt_to_champions_0, 123799
total_damage_dealt_to_objectives_0, 38531
total_damage_taken_0, 150922
average_vision_score_0, 18
total_wards_placed_0, 34
average_creep_score_0, 136
average_champion_experience_0, 15316
dmg_carry_0, 157
obj_carry_0, 157
team_comp_0_champ_1, Shen
team_comp_0_champ_2, JarvanIV
team_comp_0_champ_3, Yasuo
team_comp_0_champ_4, Draven
team_comp_0_champ_5, Lux
total_gold_earned_1, 69525
total_gold_spent_1, 66235
total_baron_kills_1, 0
total_dragon_kills_1, 4
total_inhibitor_kils_1, 4
total_kills_1, 44
total_deaths_1, 30
total_damage_dealt_to_champions_1, 116634
total_damage_dealt_to_objectives_1, 90315
total_damage_taken_1, 163775
average_vision_score_1, 24
total_wards_placed_1, 50
average_creep_score_1, 139
average_champion_experience_1, 16667
dmg_carry_1, 14
obj_carry_1, 14
team_comp_1_champ_1, Sion
team_comp_1_champ_2, Lillia
team_comp_1_champ_3, Yone
team_comp_1_champ_4, Caitlyn
team_comp_1_champ_5, Nautilus
gameLengthMin, 0
dmg_to_champs_winner, 0
dmg_to_obj_winner, 1
vision_winner, 1
cs_winner, 1
champ_experience_winner, 1
wards_placed_winner, 1
gold_spender_winner, 1
final_match_winner, 1
