total_gold_earned_0, 44153
total_gold_spent_0, 34200
total_baron_kills_0, 1
total_dragon_kills_0, 1
total_inhibitor_kils_0, 1
total_kills_0, 23
total_deaths_0, 17
total_damage_dealt_to_champions_0, 62813
total_damage_dealt_to_objectives_0, 58893
total_damage_taken_0, 67442
average_vision_score_0, 20
total_wards_placed_0, 46
average_creep_score_0, 86
average_champion_experience_0, 10269
dmg_carry_0, 67
obj_carry_0, 67
team_comp_0_champ_1, Fiora
team_comp_0_champ_2, Udyr
team_comp_0_champ_3, Ahri
team_comp_0_champ_4, Vayne
team_comp_0_champ_5, Nautilus
total_gold_earned_1, 39619
total_gold_spent_1, 36230
total_baron_kills_1, 0
total_dragon_kills_1, 1
total_inhibitor_kils_1, 0
total_kills_1, 17
total_deaths_1, 23
total_damage_dealt_to_champions_1, 42548
total_damage_dealt_to_objectives_1, 19410
total_damage_taken_1, 78275
average_vision_score_1, 18
total_wards_placed_1, 38
average_creep_score_1, 98
average_champion_experience_1, 8510
dmg_carry_1, 110
obj_carry_1, 110
team_comp_1_champ_1, DrMundo
team_comp_1_champ_2, Viego
team_comp_1_champ_3, Yasuo
team_comp_1_champ_4, Varus
team_comp_1_champ_5, Leona
gameLengthMin, 0
dmg_to_champs_winner, 0
dmg_to_obj_winner, 0
vision_winner, 0
cs_winner, 1
champ_experience_winner, 0
wards_placed_winner, 0
gold_spender_winner, 1
final_match_winner, 0
