total_gold_earned_0, 43919
total_gold_spent_0, 42410
total_baron_kills_0, 0
total_dragon_kills_0, 0
total_inhibitor_kils_0, 0
total_kills_0, 18
total_deaths_0, 29
total_damage_dealt_to_champions_0, 72377
total_damage_dealt_to_objectives_0, 23109
total_damage_taken_0, 81166
average_vision_score_0, 16
total_wards_placed_0, 43
average_creep_score_0, 89
average_champion_experience_0, 9623
dmg_carry_0, 21
obj_carry_0, 21
team_comp_0_champ_1, MonkeyKing
team_comp_0_champ_2, Sylas
team_comp_0_champ_3, Yasuo
team_comp_0_champ_4, MissFortune
team_comp_0_champ_5, Xerath
total_gold_earned_1, 47349
total_gold_spent_1, 38550
total_baron_kills_1, 0
total_dragon_kills_1, 2
total_inhibitor_kils_1, 1
total_kills_1, 29
total_deaths_1, 18
total_damage_dealt_to_champions_1, 60906
total_damage_dealt_to_objectives_1, 51064
total_damage_taken_1, 100312
average_vision_score_1, 20
total_wards_placed_1, 49
average_creep_score_1, 87
average_champion_experience_1, 10800
dmg_carry_1, 23
obj_carry_1, 23
team_comp_1_champ_1, Tryndamere
team_comp_1_champ_2, Volibear
team_comp_1_champ_3, Shen
team_comp_1_champ_4, Xayah
team_comp_1_champ_5, Rakan
gameLengthMin, 0
dmg_to_champs_winner, 0
dmg_to_obj_winner, 1
vision_winner, 1
cs_winner, 0
champ_experience_winner, 1
wards_placed_winner, 1
gold_spender_winner, 0
final_match_winner, 1
