total_gold_earned_0, 57223
total_gold_spent_0, 45858
total_baron_kills_0, 1
total_dragon_kills_0, 4
total_inhibitor_kils_0, 2
total_kills_0, 25
total_deaths_0, 19
total_damage_dealt_to_champions_0, 91786
total_damage_dealt_to_objectives_0, 78184
total_damage_taken_0, 93762
average_vision_score_0, 26
total_wards_placed_0, 49
average_creep_score_0, 118
average_champion_experience_0, 13207
dmg_carry_0, 112
obj_carry_0, 112
team_comp_0_champ_1, Garen
team_comp_0_champ_2, Skarner
team_comp_0_champ_3, Viktor
team_comp_0_champ_4, Soraka
team_comp_0_champ_5, Ezreal
total_gold_earned_1, 45194
total_gold_spent_1, 42860
total_baron_kills_1, 0
total_dragon_kills_1, 0
total_inhibitor_kils_1, 0
total_kills_1, 19
total_deaths_1, 25
total_damage_dealt_to_champions_1, 72429
total_damage_dealt_to_objectives_1, 9387
total_damage_taken_1, 117248
average_vision_score_1, 20
total_wards_placed_1, 43
average_creep_score_1, 106
average_champion_experience_1, 10682
dmg_carry_1, 19
obj_carry_1, 19
team_comp_1_champ_1, Warwick
team_comp_1_champ_2, MonkeyKing
team_comp_1_champ_3, Akali
team_comp_1_champ_4, Velkoz
team_comp_1_champ_5, Ashe
gameLengthMin, 0
dmg_to_champs_winner, 0
dmg_to_obj_winner, 0
vision_winner, 0
cs_winner, 0
champ_experience_winner, 0
wards_placed_winner, 0
gold_spender_winner, 0
final_match_winner, 0
