total_gold_earned_0, 64057
total_gold_spent_0, 54085
total_baron_kills_0, 1
total_dragon_kills_0, 3
total_inhibitor_kils_0, 3
total_kills_0, 36
total_deaths_0, 37
total_damage_dealt_to_champions_0, 99964
total_damage_dealt_to_objectives_0, 88043
total_damage_taken_0, 138390
average_vision_score_0, 16
total_wards_placed_0, 48
average_creep_score_0, 122
average_champion_experience_0, 15677
dmg_carry_0, 17
obj_carry_0, 17
team_comp_0_champ_1, Teemo
team_comp_0_champ_2, Zed
team_comp_0_champ_3, Garen
team_comp_0_champ_4, Sivir
team_comp_0_champ_5, Bard
total_gold_earned_1, 55513
total_gold_spent_1, 53025
total_baron_kills_1, 0
total_dragon_kills_1, 1
total_inhibitor_kils_1, 0
total_kills_1, 37
total_deaths_1, 36
total_damage_dealt_to_champions_1, 103778
total_damage_dealt_to_objectives_1, 26723
total_damage_taken_1, 119227
average_vision_score_1, 24
total_wards_placed_1, 53
average_creep_score_1, 94
average_champion_experience_1, 13174
dmg_carry_1, 202
obj_carry_1, 202
team_comp_1_champ_1, Jhin
team_comp_1_champ_2, Qiyana
team_comp_1_champ_3, Ahri
team_comp_1_champ_4, Akali
team_comp_1_champ_5, Lux
gameLengthMin, 0
dmg_to_champs_winner, 1
dmg_to_obj_winner, 0
vision_winner, 1
cs_winner, 0
champ_experience_winner, 0
wards_placed_winner, 1
gold_spender_winner, 0
final_match_winner, 0
