total_gold_earned_0, 61270
total_gold_spent_0, 57593
total_baron_kills_0, 1
total_dragon_kills_0, 2
total_inhibitor_kils_0, 1
total_kills_0, 36
total_deaths_0, 26
total_damage_dealt_to_champions_0, 101458
total_damage_dealt_to_objectives_0, 78225
total_damage_taken_0, 121177
average_vision_score_0, 24
total_wards_placed_0, 57
average_creep_score_0, 122
average_champion_experience_0, 14513
dmg_carry_0, 10
obj_carry_0, 10
team_comp_0_champ_1, Darius
team_comp_0_champ_2, Warwick
team_comp_0_champ_3, Kayle
team_comp_0_champ_4, MissFortune
team_comp_0_champ_5, Shaco
total_gold_earned_1, 54134
total_gold_spent_1, 53045
total_baron_kills_1, 0
total_dragon_kills_1, 2
total_inhibitor_kils_1, 0
total_kills_1, 26
total_deaths_1, 36
total_damage_dealt_to_champions_1, 88525
total_damage_dealt_to_objectives_1, 49961
total_damage_taken_1, 120795
average_vision_score_1, 21
total_wards_placed_1, 42
average_creep_score_1, 113
average_champion_experience_1, 12763
dmg_carry_1, 429
obj_carry_1, 429
team_comp_1_champ_1, Yone
team_comp_1_champ_2, Diana
team_comp_1_champ_3, Morgana
team_comp_1_champ_4, Kalista
team_comp_1_champ_5, Senna
gameLengthMin, 0
dmg_to_champs_winner, 0
dmg_to_obj_winner, 0
vision_winner, 0
cs_winner, 0
champ_experience_winner, 0
wards_placed_winner, 0
gold_spender_winner, 0
final_match_winner, 0
