total_gold_earned_0, 84201
total_gold_spent_0, 73800
total_baron_kills_0, 2
total_dragon_kills_0, 4
total_inhibitor_kils_0, 3
total_kills_0, 60
total_deaths_0, 50
total_damage_dealt_to_champions_0, 166145
total_damage_dealt_to_objectives_0, 83818
total_damage_taken_0, 196035
average_vision_score_0, 37
total_wards_placed_0, 79
average_creep_score_0, 129
average_champion_experience_0, 21463
dmg_carry_0, 11
obj_carry_0, 11
team_comp_0_champ_1, Fiora
team_comp_0_champ_2, MasterYi
team_comp_0_champ_3, Jayce
team_comp_0_champ_4, Ashe
team_comp_0_champ_5, Morgana
total_gold_earned_1, 72493
total_gold_spent_1, 70523
total_baron_kills_1, 0
total_dragon_kills_1, 2
total_inhibitor_kils_1, 0
total_kills_1, 50
total_deaths_1, 60
total_damage_dealt_to_champions_1, 152612
total_damage_dealt_to_objectives_1, 62199
total_damage_taken_1, 198066
average_vision_score_1, 33
total_wards_placed_1, 62
average_creep_score_1, 120
average_champion_experience_1, 17510
dmg_carry_1, 29
obj_carry_1, 29
team_comp_1_champ_1, Skarner
team_comp_1_champ_2, Hecarim
team_comp_1_champ_3, Ahri
team_comp_1_champ_4, Twitch
team_comp_1_champ_5, Xerath
gameLengthMin, 0
dmg_to_champs_winner, 0
dmg_to_obj_winner, 0
vision_winner, 0
cs_winner, 0
champ_experience_winner, 0
wards_placed_winner, 0
gold_spender_winner, 0
final_match_winner, 0
