total_gold_earned_0, 68976
total_gold_spent_0, 60225
total_baron_kills_0, 1
total_dragon_kills_0, 4
total_inhibitor_kils_0, 2
total_kills_0, 39
total_deaths_0, 33
total_damage_dealt_to_champions_0, 112119
total_damage_dealt_to_objectives_0, 83404
total_damage_taken_0, 123606
average_vision_score_0, 23
total_wards_placed_0, 59
average_creep_score_0, 131
average_champion_experience_0, 16400
dmg_carry_0, 11
obj_carry_0, 11
team_comp_0_champ_1, Aatrox
team_comp_0_champ_2, MasterYi
team_comp_0_champ_3, Cassiopeia
team_comp_0_champ_4, MissFortune
team_comp_0_champ_5, Yuumi
total_gold_earned_1, 61448
total_gold_spent_1, 57388
total_baron_kills_1, 0
total_dragon_kills_1, 1
total_inhibitor_kils_1, 0
total_kills_1, 33
total_deaths_1, 39
total_damage_dealt_to_champions_1, 90430
total_damage_dealt_to_objectives_1, 39333
total_damage_taken_1, 129934
average_vision_score_1, 29
total_wards_placed_1, 51
average_creep_score_1, 122
average_champion_experience_1, 14616
dmg_carry_1, 86
obj_carry_1, 86
team_comp_1_champ_1, Garen
team_comp_1_champ_2, Taric
team_comp_1_champ_3, Akali
team_comp_1_champ_4, Caitlyn
team_comp_1_champ_5, Zyra
gameLengthMin, 0
dmg_to_champs_winner, 0
dmg_to_obj_winner, 0
vision_winner, 1
cs_winner, 0
champ_experience_winner, 0
wards_placed_winner, 0
gold_spender_winner, 0
final_match_winner, 0
