total_gold_earned_0, 52585
total_gold_spent_0, 51260
total_baron_kills_0, 0
total_dragon_kills_0, 2
total_inhibitor_kils_0, 0
total_kills_0, 27
total_deaths_0, 47
total_damage_dealt_to_champions_0, 70513
total_damage_dealt_to_objectives_0, 34933
total_damage_taken_0, 138122
average_vision_score_0, 22
total_wards_placed_0, 55
average_creep_score_0, 113
average_champion_experience_0, 12443
dmg_carry_0, 55
obj_carry_0, 55
team_comp_0_champ_1, Renekton
team_comp_0_champ_2, XinZhao
team_comp_0_champ_3, Katarina
team_comp_0_champ_4, Jhin
team_comp_0_champ_5, Seraphine
total_gold_earned_1, 67380
total_gold_spent_1, 60275
total_baron_kills_1, 1
total_dragon_kills_1, 2
total_inhibitor_kils_1, 2
total_kills_1, 47
total_deaths_1, 29
total_damage_dealt_to_champions_1, 114394
total_damage_dealt_to_objectives_1, 87798
total_damage_taken_1, 100598
average_vision_score_1, 29
total_wards_placed_1, 59
average_creep_score_1, 106
average_champion_experience_1, 14864
dmg_carry_1, 145
obj_carry_1, 145
team_comp_1_champ_1, Teemo
team_comp_1_champ_2, Graves
team_comp_1_champ_3, Fizz
team_comp_1_champ_4, Kaisa
team_comp_1_champ_5, Xerath
gameLengthMin, 0
dmg_to_champs_winner, 1
dmg_to_obj_winner, 1
vision_winner, 1
cs_winner, 0
champ_experience_winner, 1
wards_placed_winner, 1
gold_spender_winner, 1
final_match_winner, 1
