total_gold_earned_0, 55441
total_gold_spent_0, 53550
total_baron_kills_0, 1
total_dragon_kills_0, 4
total_inhibitor_kils_0, 0
total_kills_0, 21
total_deaths_0, 13
total_damage_dealt_to_champions_0, 68667
total_damage_dealt_to_objectives_0, 56870
total_damage_taken_0, 87789
average_vision_score_0, 26
total_wards_placed_0, 46
average_creep_score_0, 139
average_champion_experience_0, 13439
dmg_carry_0, 86
obj_carry_0, 86
team_comp_0_champ_1, Garen
team_comp_0_champ_2, Volibear
team_comp_0_champ_3, Malzahar
team_comp_0_champ_4, Tristana
team_comp_0_champ_5, Morgana
total_gold_earned_1, 49120
total_gold_spent_1, 45175
total_baron_kills_1, 0
total_dragon_kills_1, 0
total_inhibitor_kils_1, 0
total_kills_1, 12
total_deaths_1, 22
total_damage_dealt_to_champions_1, 61133
total_damage_dealt_to_objectives_1, 46994
total_damage_taken_1, 89637
average_vision_score_1, 22
total_wards_placed_1, 51
average_creep_score_1, 139
average_champion_experience_1, 11893
dmg_carry_1, 115
obj_carry_1, 115
team_comp_1_champ_1, Yorick
team_comp_1_champ_2, JarvanIV
team_comp_1_champ_3, Ahri
team_comp_1_champ_4, Caitlyn
team_comp_1_champ_5, Ziggs
gameLengthMin, 0
dmg_to_champs_winner, 0
dmg_to_obj_winner, 0
vision_winner, 0
cs_winner, 0
champ_experience_winner, 0
wards_placed_winner, 1
gold_spender_winner, 0
final_match_winner, 0
