total_gold_earned_0, 45506
total_gold_spent_0, 39010
total_baron_kills_0, 0
total_dragon_kills_0, 2
total_inhibitor_kils_0, 1
total_kills_0, 29
total_deaths_0, 12
total_damage_dealt_to_champions_0, 69346
total_damage_dealt_to_objectives_0, 38836
total_damage_taken_0, 71139
average_vision_score_0, 14
total_wards_placed_0, 30
average_creep_score_0, 92
average_champion_experience_0, 10167
dmg_carry_0, 235
obj_carry_0, 235
team_comp_0_champ_1, Nasus
team_comp_0_champ_2, Lillia
team_comp_0_champ_3, Malzahar
team_comp_0_champ_4, Urgot
team_comp_0_champ_5, Senna
total_gold_earned_1, 33375
total_gold_spent_1, 33405
total_baron_kills_1, 0
total_dragon_kills_1, 0
total_inhibitor_kils_1, 0
total_kills_1, 12
total_deaths_1, 29
total_damage_dealt_to_champions_1, 40869
total_damage_dealt_to_objectives_1, 12145
total_damage_taken_1, 87276
average_vision_score_1, 11
total_wards_placed_1, 27
average_creep_score_1, 84
average_champion_experience_1, 8331
dmg_carry_1, 99
obj_carry_1, 99
team_comp_1_champ_1, Illaoi
team_comp_1_champ_2, Kayn
team_comp_1_champ_3, Garen
team_comp_1_champ_4, Yasuo
team_comp_1_champ_5, Lux
gameLengthMin, 0
dmg_to_champs_winner, 0
dmg_to_obj_winner, 0
vision_winner, 0
cs_winner, 0
champ_experience_winner, 0
wards_placed_winner, 0
gold_spender_winner, 0
final_match_winner, 0
