total_gold_earned_0, 41976
total_gold_spent_0, 41570
total_baron_kills_0, 0
total_dragon_kills_0, 0
total_inhibitor_kils_0, 0
total_kills_0, 15
total_deaths_0, 37
total_damage_dealt_to_champions_0, 59060
total_damage_dealt_to_objectives_0, 12753
total_damage_taken_0, 84205
average_vision_score_0, 14
total_wards_placed_0, 39
average_creep_score_0, 101
average_champion_experience_0, 9727
dmg_carry_0, 22
obj_carry_0, 22
team_comp_0_champ_1, Teemo
team_comp_0_champ_2, Shaco
team_comp_0_champ_3, Cassiopeia
team_comp_0_champ_4, Jhin
team_comp_0_champ_5, Ashe
total_gold_earned_1, 56542
total_gold_spent_1, 50208
total_baron_kills_1, 1
total_dragon_kills_1, 3
total_inhibitor_kils_1, 1
total_kills_1, 37
total_deaths_1, 15
total_damage_dealt_to_champions_1, 69410
total_damage_dealt_to_objectives_1, 84631
total_damage_taken_1, 88808
average_vision_score_1, 21
total_wards_placed_1, 42
average_creep_score_1, 104
average_champion_experience_1, 12818
dmg_carry_1, 29
obj_carry_1, 29
team_comp_1_champ_1, Camille
team_comp_1_champ_2, Udyr
team_comp_1_champ_3, Orianna
team_comp_1_champ_4, Twitch
team_comp_1_champ_5, Leona
gameLengthMin, 0
dmg_to_champs_winner, 1
dmg_to_obj_winner, 1
vision_winner, 1
cs_winner, 1
champ_experience_winner, 1
wards_placed_winner, 1
gold_spender_winner, 1
final_match_winner, 1
