total_gold_earned_0, 56698
total_gold_spent_0, 50010
total_baron_kills_0, 0
total_dragon_kills_0, 2
total_inhibitor_kils_0, 1
total_kills_0, 38
total_deaths_0, 16
total_damage_dealt_to_champions_0, 97568
total_damage_dealt_to_objectives_0, 48433
total_damage_taken_0, 87841
average_vision_score_0, 30
total_wards_placed_0, 65
average_creep_score_0, 114
average_champion_experience_0, 13237
dmg_carry_0, 266
obj_carry_0, 266
team_comp_0_champ_1, Sejuani
team_comp_0_champ_2, Aatrox
team_comp_0_champ_3, Yasuo
team_comp_0_champ_4, Seraphine
team_comp_0_champ_5, Lux
total_gold_earned_1, 48282
total_gold_spent_1, 46400
total_baron_kills_1, 1
total_dragon_kills_1, 2
total_inhibitor_kils_1, 0
total_kills_1, 16
total_deaths_1, 38
total_damage_dealt_to_champions_1, 57429
total_damage_dealt_to_objectives_1, 64463
total_damage_taken_1, 118217
average_vision_score_1, 24
total_wards_placed_1, 52
average_creep_score_1, 105
average_champion_experience_1, 10746
dmg_carry_1, 6
obj_carry_1, 6
team_comp_1_champ_1, Urgot
team_comp_1_champ_2, Belveth
team_comp_1_champ_3, Corki
team_comp_1_champ_4, Kalista
team_comp_1_champ_5, Blitzcrank
gameLengthMin, 0
dmg_to_champs_winner, 0
dmg_to_obj_winner, 1
vision_winner, 0
cs_winner, 0
champ_experience_winner, 0
wards_placed_winner, 0
gold_spender_winner, 0
final_match_winner, 0
