total_gold_earned_0, 52738
total_gold_spent_0, 45045
total_baron_kills_0, 0
total_dragon_kills_0, 1
total_inhibitor_kils_0, 1
total_kills_0, 31
total_deaths_0, 25
total_damage_dealt_to_champions_0, 82781
total_damage_dealt_to_objectives_0, 39077
total_damage_taken_0, 89252
average_vision_score_0, 21
total_wards_placed_0, 46
average_creep_score_0, 102
average_champion_experience_0, 11929
dmg_carry_0, 81
obj_carry_0, 81
team_comp_0_champ_1, Vayne
team_comp_0_champ_2, FiddleSticks
team_comp_0_champ_3, Yone
team_comp_0_champ_4, Ezreal
team_comp_0_champ_5, Seraphine
total_gold_earned_1, 48671
total_gold_spent_1, 46885
total_baron_kills_1, 1
total_dragon_kills_1, 2
total_inhibitor_kils_1, 0
total_kills_1, 25
total_deaths_1, 31
total_damage_dealt_to_champions_1, 62973
total_damage_dealt_to_objectives_1, 47582
total_damage_taken_1, 110726
average_vision_score_1, 20
total_wards_placed_1, 40
average_creep_score_1, 96
average_champion_experience_1, 11395
dmg_carry_1, 876
obj_carry_1, 876
team_comp_1_champ_1, Nasus
team_comp_1_champ_2, Lillia
team_comp_1_champ_3, Chogath
team_comp_1_champ_4, Lucian
team_comp_1_champ_5, Leona
gameLengthMin, 0
dmg_to_champs_winner, 0
dmg_to_obj_winner, 1
vision_winner, 0
cs_winner, 0
champ_experience_winner, 0
wards_placed_winner, 0
gold_spender_winner, 1
final_match_winner, 0
