total_gold_earned_0, 70687
total_gold_spent_0, 67440
total_baron_kills_0, 0
total_dragon_kills_0, 0
total_inhibitor_kils_0, 0
total_kills_0, 52
total_deaths_0, 46
total_damage_dealt_to_champions_0, 188346
total_damage_dealt_to_objectives_0, 17843
total_damage_taken_0, 183944
average_vision_score_0, 34
total_wards_placed_0, 63
average_creep_score_0, 134
average_champion_experience_0, 17134
dmg_carry_0, 29
obj_carry_0, 29
team_comp_0_champ_1, Jax
team_comp_0_champ_2, Twitch
team_comp_0_champ_3, Sylas
team_comp_0_champ_4, Karthus
team_comp_0_champ_5, Nautilus
total_gold_earned_1, 71647
total_gold_spent_1, 65783
total_baron_kills_1, 1
total_dragon_kills_1, 4
total_inhibitor_kils_1, 3
total_kills_1, 46
total_deaths_1, 52
total_damage_dealt_to_champions_1, 151124
total_damage_dealt_to_objectives_1, 98038
total_damage_taken_1, 226941
average_vision_score_1, 22
total_wards_placed_1, 63
average_creep_score_1, 112
average_champion_experience_1, 16718
dmg_carry_1, 76
obj_carry_1, 76
team_comp_1_champ_1, Chogath
team_comp_1_champ_2, Sion
team_comp_1_champ_3, Nidalee
team_comp_1_champ_4, Ezreal
team_comp_1_champ_5, Zyra
gameLengthMin, 0
dmg_to_champs_winner, 0
dmg_to_obj_winner, 1
vision_winner, 0
cs_winner, 0
champ_experience_winner, 0
wards_placed_winner, 0
gold_spender_winner, 0
final_match_winner, 1
