total_gold_earned_0, 58768
total_gold_spent_0, 51195
total_baron_kills_0, 1
total_dragon_kills_0, 2
total_inhibitor_kils_0, 2
total_kills_0, 39
total_deaths_0, 24
total_damage_dealt_to_champions_0, 102138
total_damage_dealt_to_objectives_0, 68395
total_damage_taken_0, 93656
average_vision_score_0, 18
total_wards_placed_0, 43
average_creep_score_0, 100
average_champion_experience_0, 13194
dmg_carry_0, 35
obj_carry_0, 35
team_comp_0_champ_1, Camille
team_comp_0_champ_2, Shaco
team_comp_0_champ_3, Malzahar
team_comp_0_champ_4, Jinx
team_comp_0_champ_5, Lux
total_gold_earned_1, 50597
total_gold_spent_1, 48850
total_baron_kills_1, 0
total_dragon_kills_1, 2
total_inhibitor_kils_1, 0
total_kills_1, 24
total_deaths_1, 39
total_damage_dealt_to_champions_1, 73082
total_damage_dealt_to_objectives_1, 35248
total_damage_taken_1, 126262
average_vision_score_1, 22
total_wards_placed_1, 46
average_creep_score_1, 106
average_champion_experience_1, 12364
dmg_carry_1, 55
obj_carry_1, 55
team_comp_1_champ_1, Ornn
team_comp_1_champ_2, MasterYi
team_comp_1_champ_3, Katarina
team_comp_1_champ_4, Nilah
team_comp_1_champ_5, Nami
gameLengthMin, 0
dmg_to_champs_winner, 0
dmg_to_obj_winner, 0
vision_winner, 1
cs_winner, 1
champ_experience_winner, 0
wards_placed_winner, 1
gold_spender_winner, 0
final_match_winner, 0
