total_gold_earned_0, 78571
total_gold_spent_0, 74363
total_baron_kills_0, 2
total_dragon_kills_0, 3
total_inhibitor_kils_0, 3
total_kills_0, 48
total_deaths_0, 48
total_damage_dealt_to_champions_0, 128420
total_damage_dealt_to_objectives_0, 95969
total_damage_taken_0, 176886
average_vision_score_0, 31
total_wards_placed_0, 75
average_creep_score_0, 135
average_champion_experience_0, 19541
dmg_carry_0, 711
obj_carry_0, 711
team_comp_0_champ_1, Darius
team_comp_0_champ_2, Kayn
team_comp_0_champ_3, Vex
team_comp_0_champ_4, Draven
team_comp_0_champ_5, Blitzcrank
total_gold_earned_1, 73465
total_gold_spent_1, 70685
total_baron_kills_1, 0
total_dragon_kills_1, 3
total_inhibitor_kils_1, 0
total_kills_1, 48
total_deaths_1, 48
total_damage_dealt_to_champions_1, 138724
total_damage_dealt_to_objectives_1, 47329
total_damage_taken_1, 158346
average_vision_score_1, 36
total_wards_placed_1, 83
average_creep_score_1, 125
average_champion_experience_1, 18009
dmg_carry_1, 56
obj_carry_1, 56
team_comp_1_champ_1, Mordekaiser
team_comp_1_champ_2, Nocturne
team_comp_1_champ_3, Sylas
team_comp_1_champ_4, Senna
team_comp_1_champ_5, MissFortune
gameLengthMin, 37
dmg_to_champs_winner, 1
dmg_to_obj_winner, 0
vision_winner, 1
cs_winner, 0
champ_experience_winner, 0
wards_placed_winner, 1
gold_spender_winner, 0
final_match_winner, 0
