total_gold_earned_0, 59913
total_gold_spent_0, 57060
total_baron_kills_0, 0
total_dragon_kills_0, 2
total_inhibitor_kils_0, 0
total_kills_0, 28
total_deaths_0, 50
total_damage_dealt_to_champions_0, 127542
total_damage_dealt_to_objectives_0, 44976
total_damage_taken_0, 147557
average_vision_score_0, 31
total_wards_placed_0, 62
average_creep_score_0, 104
average_champion_experience_0, 12898
dmg_carry_0, 112
obj_carry_0, 112
team_comp_0_champ_1, Tryndamere
team_comp_0_champ_2, Shaco
team_comp_0_champ_3, Viktor
team_comp_0_champ_4, Ezreal
team_comp_0_champ_5, Zoe
total_gold_earned_1, 68107
total_gold_spent_1, 61210
total_baron_kills_1, 1
total_dragon_kills_1, 2
total_inhibitor_kils_1, 1
total_kills_1, 50
total_deaths_1, 28
total_damage_dealt_to_champions_1, 125945
total_damage_dealt_to_objectives_1, 74017
total_damage_taken_1, 150107
average_vision_score_1, 26
total_wards_placed_1, 55
average_creep_score_1, 117
average_champion_experience_1, 15412
dmg_carry_1, 254
obj_carry_1, 254
team_comp_1_champ_1, Sion
team_comp_1_champ_2, Vi
team_comp_1_champ_3, Heimerdinger
team_comp_1_champ_4, Jinx
team_comp_1_champ_5, Leona
gameLengthMin, 0
dmg_to_champs_winner, 0
dmg_to_obj_winner, 1
vision_winner, 0
cs_winner, 1
champ_experience_winner, 1
wards_placed_winner, 0
gold_spender_winner, 1
final_match_winner, 1
