total_gold_earned_0, 75408
total_gold_spent_0, 70050
total_baron_kills_0, 0
total_dragon_kills_0, 4
total_inhibitor_kils_0, 3
total_kills_0, 47
total_deaths_0, 33
total_damage_dealt_to_champions_0, 137539
total_damage_dealt_to_objectives_0, 66871
total_damage_taken_0, 194191
average_vision_score_0, 42
total_wards_placed_0, 94
average_creep_score_0, 123
average_champion_experience_0, 18385
dmg_carry_0, 80
obj_carry_0, 80
team_comp_0_champ_1, Veigar
team_comp_0_champ_2, Lillia
team_comp_0_champ_3, Pantheon
team_comp_0_champ_4, Twitch
team_comp_0_champ_5, Nami
total_gold_earned_1, 67824
total_gold_spent_1, 64995
total_baron_kills_1, 0
total_dragon_kills_1, 1
total_inhibitor_kils_1, 0
total_kills_1, 33
total_deaths_1, 47
total_damage_dealt_to_champions_1, 149311
total_damage_dealt_to_objectives_1, 30109
total_damage_taken_1, 168134
average_vision_score_1, 53
total_wards_placed_1, 60
average_creep_score_1, 161
average_champion_experience_1, 16110
dmg_carry_1, 96
obj_carry_1, 96
team_comp_1_champ_1, Jayce
team_comp_1_champ_2, FiddleSticks
team_comp_1_champ_3, KogMaw
team_comp_1_champ_4, Kaisa
team_comp_1_champ_5, Nautilus
gameLengthMin, 0
dmg_to_champs_winner, 1
dmg_to_obj_winner, 0
vision_winner, 1
cs_winner, 1
champ_experience_winner, 0
wards_placed_winner, 0
gold_spender_winner, 0
final_match_winner, 0
