total_gold_earned_0, 50156
total_gold_spent_0, 41160
total_baron_kills_0, 0
total_dragon_kills_0, 2
total_inhibitor_kils_0, 2
total_kills_0, 34
total_deaths_0, 16
total_damage_dealt_to_champions_0, 59350
total_damage_dealt_to_objectives_0, 53143
total_damage_taken_0, 75579
average_vision_score_0, 17
total_wards_placed_0, 34
average_creep_score_0, 93
average_champion_experience_0, 10499
dmg_carry_0, 166
obj_carry_0, 166
team_comp_0_champ_1, Kled
team_comp_0_champ_2, Gwen
team_comp_0_champ_3, Akshan
team_comp_0_champ_4, Caitlyn
team_comp_0_champ_5, Senna
total_gold_earned_1, 35156
total_gold_spent_1, 31375
total_baron_kills_1, 0
total_dragon_kills_1, 1
total_inhibitor_kils_1, 0
total_kills_1, 16
total_deaths_1, 34
total_damage_dealt_to_champions_1, 47013
total_damage_dealt_to_objectives_1, 21815
total_damage_taken_1, 80448
average_vision_score_1, 17
total_wards_placed_1, 40
average_creep_score_1, 67
average_champion_experience_1, 7766
dmg_carry_1, 14
obj_carry_1, 14
team_comp_1_champ_1, Sion
team_comp_1_champ_2, Nidalee
team_comp_1_champ_3, Zeri
team_comp_1_champ_4, Vayne
team_comp_1_champ_5, Brand
gameLengthMin, 0
dmg_to_champs_winner, 0
dmg_to_obj_winner, 0
vision_winner, 0
cs_winner, 0
champ_experience_winner, 0
wards_placed_winner, 1
gold_spender_winner, 0
final_match_winner, 0
