total_gold_earned_0, 79252
total_gold_spent_0, 79375
total_baron_kills_0, 1
total_dragon_kills_0, 0
total_inhibitor_kils_0, 1
total_kills_0, 38
total_deaths_0, 59
total_damage_dealt_to_champions_0, 158474
total_damage_dealt_to_objectives_0, 68072
total_damage_taken_0, 204482
average_vision_score_0, 34
total_wards_placed_0, 99
average_creep_score_0, 148
average_champion_experience_0, 19545
dmg_carry_0, 67
obj_carry_0, 67
team_comp_0_champ_1, Yorick
team_comp_0_champ_2, Evelynn
team_comp_0_champ_3, Cassiopeia
team_comp_0_champ_4, Vayne
team_comp_0_champ_5, Velkoz
total_gold_earned_1, 92004
total_gold_spent_1, 85238
total_baron_kills_1, 2
total_dragon_kills_1, 6
total_inhibitor_kils_1, 2
total_kills_1, 59
total_deaths_1, 38
total_damage_dealt_to_champions_1, 174662
total_damage_dealt_to_objectives_1, 123732
total_damage_taken_1, 204930
average_vision_score_1, 56
total_wards_placed_1, 91
average_creep_score_1, 171
average_champion_experience_1, 23778
dmg_carry_1, 54
obj_carry_1, 54
team_comp_1_champ_1, Darius
team_comp_1_champ_2, Vi
team_comp_1_champ_3, Malphite
team_comp_1_champ_4, Caitlyn
team_comp_1_champ_5, Braum
gameLengthMin, 0
dmg_to_champs_winner, 1
dmg_to_obj_winner, 1
vision_winner, 1
cs_winner, 1
champ_experience_winner, 1
wards_placed_winner, 0
gold_spender_winner, 1
final_match_winner, 1
