total_gold_earned_0, 67644
total_gold_spent_0, 59850
total_baron_kills_0, 1
total_dragon_kills_0, 2
total_inhibitor_kils_0, 5
total_kills_0, 34
total_deaths_0, 22
total_damage_dealt_to_champions_0, 112630
total_damage_dealt_to_objectives_0, 85095
total_damage_taken_0, 126115
average_vision_score_0, 27
total_wards_placed_0, 50
average_creep_score_0, 133
average_champion_experience_0, 15223
dmg_carry_0, 51
obj_carry_0, 51
team_comp_0_champ_1, Sett
team_comp_0_champ_2, Elise
team_comp_0_champ_3, Azir
team_comp_0_champ_4, Caitlyn
team_comp_0_champ_5, Yuumi
total_gold_earned_1, 56988
total_gold_spent_1, 53500
total_baron_kills_1, 0
total_dragon_kills_1, 2
total_inhibitor_kils_1, 0
total_kills_1, 22
total_deaths_1, 34
total_damage_dealt_to_champions_1, 100015
total_damage_dealt_to_objectives_1, 45111
total_damage_taken_1, 137728
average_vision_score_1, 35
total_wards_placed_1, 59
average_creep_score_1, 132
average_champion_experience_1, 14104
dmg_carry_1, 83
obj_carry_1, 83
team_comp_1_champ_1, Yorick
team_comp_1_champ_2, FiddleSticks
team_comp_1_champ_3, Viktor
team_comp_1_champ_4, Ashe
team_comp_1_champ_5, Nami
gameLengthMin, 0
dmg_to_champs_winner, 0
dmg_to_obj_winner, 0
vision_winner, 1
cs_winner, 0
champ_experience_winner, 0
wards_placed_winner, 1
gold_spender_winner, 0
final_match_winner, 0
