total_gold_earned_0, 61925
total_gold_spent_0, 53660
total_baron_kills_0, 1
total_dragon_kills_0, 3
total_inhibitor_kils_0, 1
total_kills_0, 33
total_deaths_0, 24
total_damage_dealt_to_champions_0, 117083
total_damage_dealt_to_objectives_0, 64522
total_damage_taken_0, 103550
average_vision_score_0, 30
total_wards_placed_0, 58
average_creep_score_0, 133
average_champion_experience_0, 14924
dmg_carry_0, 81
obj_carry_0, 81
team_comp_0_champ_1, Kayle
team_comp_0_champ_2, Ekko
team_comp_0_champ_3, Vex
team_comp_0_champ_4, Ezreal
team_comp_0_champ_5, Seraphine
total_gold_earned_1, 54024
total_gold_spent_1, 52325
total_baron_kills_1, 0
total_dragon_kills_1, 1
total_inhibitor_kils_1, 0
total_kills_1, 24
total_deaths_1, 33
total_damage_dealt_to_champions_1, 82038
total_damage_dealt_to_objectives_1, 31992
total_damage_taken_1, 144343
average_vision_score_1, 22
total_wards_placed_1, 45
average_creep_score_1, 129
average_champion_experience_1, 12450
dmg_carry_1, 113
obj_carry_1, 113
team_comp_1_champ_1, Yone
team_comp_1_champ_2, Sejuani
team_comp_1_champ_3, Azir
team_comp_1_champ_4, Ashe
team_comp_1_champ_5, Volibear
gameLengthMin, 0
dmg_to_champs_winner, 0
dmg_to_obj_winner, 0
vision_winner, 0
cs_winner, 0
champ_experience_winner, 0
wards_placed_winner, 0
gold_spender_winner, 0
final_match_winner, 0
