total_gold_earned_0, 59862
total_gold_spent_0, 54300
total_baron_kills_0, 1
total_dragon_kills_0, 3
total_inhibitor_kils_0, 1
total_kills_0, 45
total_deaths_0, 23
total_damage_dealt_to_champions_0, 88512
total_damage_dealt_to_objectives_0, 60747
total_damage_taken_0, 101612
average_vision_score_0, 20
total_wards_placed_0, 56
average_creep_score_0, 111
average_champion_experience_0, 13880
dmg_carry_0, 222
obj_carry_0, 222
team_comp_0_champ_1, Gwen
team_comp_0_champ_2, JarvanIV
team_comp_0_champ_3, Ekko
team_comp_0_champ_4, Jinx
team_comp_0_champ_5, Braum
total_gold_earned_1, 47268
total_gold_spent_1, 44860
total_baron_kills_1, 0
total_dragon_kills_1, 1
total_inhibitor_kils_1, 0
total_kills_1, 23
total_deaths_1, 45
total_damage_dealt_to_champions_1, 73508
total_damage_dealt_to_objectives_1, 39320
total_damage_taken_1, 110947
average_vision_score_1, 20
total_wards_placed_1, 50
average_creep_score_1, 101
average_champion_experience_1, 10928
dmg_carry_1, 122
obj_carry_1, 122
team_comp_1_champ_1, Darius
team_comp_1_champ_2, MasterYi
team_comp_1_champ_3, Sylas
team_comp_1_champ_4, Caitlyn
team_comp_1_champ_5, Twitch
gameLengthMin, 0
dmg_to_champs_winner, 0
dmg_to_obj_winner, 0
vision_winner, 0
cs_winner, 0
champ_experience_winner, 0
wards_placed_winner, 0
gold_spender_winner, 0
final_match_winner, 0
