total_gold_earned_0, 74890
total_gold_spent_0, 68200
total_baron_kills_0, 1
total_dragon_kills_0, 4
total_inhibitor_kils_0, 3
total_kills_0, 51
total_deaths_0, 26
total_damage_dealt_to_champions_0, 150891
total_damage_dealt_to_objectives_0, 100267
total_damage_taken_0, 137789
average_vision_score_0, 33
total_wards_placed_0, 55
average_creep_score_0, 146
average_champion_experience_0, 17844
dmg_carry_0, 45
obj_carry_0, 45
team_comp_0_champ_1, Vayne
team_comp_0_champ_2, MonkeyKing
team_comp_0_champ_3, Veigar
team_comp_0_champ_4, MissFortune
team_comp_0_champ_5, JarvanIV
total_gold_earned_1, 63678
total_gold_spent_1, 61718
total_baron_kills_1, 0
total_dragon_kills_1, 0
total_inhibitor_kils_1, 0
total_kills_1, 25
total_deaths_1, 51
total_damage_dealt_to_champions_1, 103334
total_damage_dealt_to_objectives_1, 48057
total_damage_taken_1, 185593
average_vision_score_1, 25
total_wards_placed_1, 49
average_creep_score_1, 128
average_champion_experience_1, 14272
dmg_carry_1, 711
obj_carry_1, 711
team_comp_1_champ_1, Yorick
team_comp_1_champ_2, Trundle
team_comp_1_champ_3, Vex
team_comp_1_champ_4, Jhin
team_comp_1_champ_5, Swain
gameLengthMin, 0
dmg_to_champs_winner, 0
dmg_to_obj_winner, 0
vision_winner, 0
cs_winner, 0
champ_experience_winner, 0
wards_placed_winner, 0
gold_spender_winner, 0
final_match_winner, 0
