total_gold_earned_0, 61583
total_gold_spent_0, 58375
total_baron_kills_0, 0
total_dragon_kills_0, 3
total_inhibitor_kils_0, 0
total_kills_0, 35
total_deaths_0, 31
total_damage_dealt_to_champions_0, 112697
total_damage_dealt_to_objectives_0, 31428
total_damage_taken_0, 172270
average_vision_score_0, 25
total_wards_placed_0, 53
average_creep_score_0, 123
average_champion_experience_0, 16065
dmg_carry_0, 113
obj_carry_0, 113
team_comp_0_champ_1, Mordekaiser
team_comp_0_champ_2, Sejuani
team_comp_0_champ_3, Fizz
team_comp_0_champ_4, Caitlyn
team_comp_0_champ_5, Janna
total_gold_earned_1, 67799
total_gold_spent_1, 61805
total_baron_kills_1, 2
total_dragon_kills_1, 2
total_inhibitor_kils_1, 3
total_kills_1, 31
total_deaths_1, 35
total_damage_dealt_to_champions_1, 140595
total_damage_dealt_to_objectives_1, 94444
total_damage_taken_1, 144236
average_vision_score_1, 33
total_wards_placed_1, 79
average_creep_score_1, 118
average_champion_experience_1, 16570
dmg_carry_1, 102
obj_carry_1, 102
team_comp_1_champ_1, Urgot
team_comp_1_champ_2, Shyvana
team_comp_1_champ_3, Karthus
team_comp_1_champ_4, Lucian
team_comp_1_champ_5, Lux
gameLengthMin, 0
dmg_to_champs_winner, 1
dmg_to_obj_winner, 1
vision_winner, 1
cs_winner, 0
champ_experience_winner, 1
wards_placed_winner, 1
gold_spender_winner, 1
final_match_winner, 1
