total_gold_earned_0, 85730
total_gold_spent_0, 79050
total_baron_kills_0, 1
total_dragon_kills_0, 5
total_inhibitor_kils_0, 3
total_kills_0, 48
total_deaths_0, 47
total_damage_dealt_to_champions_0, 182429
total_damage_dealt_to_objectives_0, 72359
total_damage_taken_0, 229055
average_vision_score_0, 41
total_wards_placed_0, 89
average_creep_score_0, 161
average_champion_experience_0, 20626
dmg_carry_0, 91
obj_carry_0, 91
team_comp_0_champ_1, Mordekaiser
team_comp_0_champ_2, Kayn
team_comp_0_champ_3, Talon
team_comp_0_champ_4, Jinx
team_comp_0_champ_5, Seraphine
total_gold_earned_1, 79002
total_gold_spent_1, 72160
total_baron_kills_1, 0
total_dragon_kills_1, 2
total_inhibitor_kils_1, 1
total_kills_1, 47
total_deaths_1, 49
total_damage_dealt_to_champions_1, 202708
total_damage_dealt_to_objectives_1, 69944
total_damage_taken_1, 237529
average_vision_score_1, 43
total_wards_placed_1, 92
average_creep_score_1, 155
average_champion_experience_1, 19472
dmg_carry_1, 114
obj_carry_1, 114
team_comp_1_champ_1, Fiora
team_comp_1_champ_2, Hecarim
team_comp_1_champ_3, Ahri
team_comp_1_champ_4, MissFortune
team_comp_1_champ_5, Shaco
gameLengthMin, 44
dmg_to_champs_winner, 1
dmg_to_obj_winner, 0
vision_winner, 1
cs_winner, 0
champ_experience_winner, 0
wards_placed_winner, 1
gold_spender_winner, 0
final_match_winner, 0
