total_gold_earned_0, 77336
total_gold_spent_0, 71010
total_baron_kills_0, 1
total_dragon_kills_0, 1
total_inhibitor_kils_0, 1
total_kills_0, 40
total_deaths_0, 39
total_damage_dealt_to_champions_0, 156085
total_damage_dealt_to_objectives_0, 65127
total_damage_taken_0, 186837
average_vision_score_0, 26
total_wards_placed_0, 61
average_creep_score_0, 155
average_champion_experience_0, 18505
dmg_carry_0, 57
obj_carry_0, 57
team_comp_0_champ_1, Riven
team_comp_0_champ_2, Nocturne
team_comp_0_champ_3, Maokai
team_comp_0_champ_4, Twitch
team_comp_0_champ_5, Gwen
total_gold_earned_1, 70953
total_gold_spent_1, 67835
total_baron_kills_1, 0
total_dragon_kills_1, 4
total_inhibitor_kils_1, 0
total_kills_1, 39
total_deaths_1, 40
total_damage_dealt_to_champions_1, 136026
total_damage_dealt_to_objectives_1, 68256
total_damage_taken_1, 183197
average_vision_score_1, 43
total_wards_placed_1, 69
average_creep_score_1, 155
average_champion_experience_1, 16740
dmg_carry_1, 39
obj_carry_1, 39
team_comp_1_champ_1, Irelia
team_comp_1_champ_2, Amumu
team_comp_1_champ_3, Syndra
team_comp_1_champ_4, Jhin
team_comp_1_champ_5, Pantheon
gameLengthMin, 0
dmg_to_champs_winner, 0
dmg_to_obj_winner, 1
vision_winner, 1
cs_winner, 0
champ_experience_winner, 0
wards_placed_winner, 1
gold_spender_winner, 0
final_match_winner, 0
