total_gold_earned_0, 76750
total_gold_spent_0, 68220
total_baron_kills_0, 3
total_dragon_kills_0, 3
total_inhibitor_kils_0, 1
total_kills_0, 56
total_deaths_0, 27
total_damage_dealt_to_champions_0, 168770
total_damage_dealt_to_objectives_0, 119814
total_damage_taken_0, 173621
average_vision_score_0, 34
total_wards_placed_0, 62
average_creep_score_0, 133
average_champion_experience_0, 19812
dmg_carry_0, 85
obj_carry_0, 85
team_comp_0_champ_1, Ornn
team_comp_0_champ_2, Warwick
team_comp_0_champ_3, Kennen
team_comp_0_champ_4, Jhin
team_comp_0_champ_5, Sona
total_gold_earned_1, 69703
total_gold_spent_1, 68450
total_baron_kills_1, 0
total_dragon_kills_1, 3
total_inhibitor_kils_1, 1
total_kills_1, 27
total_deaths_1, 56
total_damage_dealt_to_champions_1, 137351
total_damage_dealt_to_objectives_1, 85642
total_damage_taken_1, 204224
average_vision_score_1, 39
total_wards_placed_1, 93
average_creep_score_1, 142
average_champion_experience_1, 16654
dmg_carry_1, 112
obj_carry_1, 112
team_comp_1_champ_1, Nasus
team_comp_1_champ_2, MasterYi
team_comp_1_champ_3, Viktor
team_comp_1_champ_4, Xayah
team_comp_1_champ_5, Chogath
gameLengthMin, 0
dmg_to_champs_winner, 0
dmg_to_obj_winner, 0
vision_winner, 1
cs_winner, 1
champ_experience_winner, 0
wards_placed_winner, 1
gold_spender_winner, 1
final_match_winner, 0
