total_gold_earned_0, 75692
total_gold_spent_0, 67680
total_baron_kills_0, 1
total_dragon_kills_0, 3
total_inhibitor_kils_0, 2
total_kills_0, 48
total_deaths_0, 45
total_damage_dealt_to_champions_0, 136006
total_damage_dealt_to_objectives_0, 68934
total_damage_taken_0, 143019
average_vision_score_0, 31
total_wards_placed_0, 67
average_creep_score_0, 124
average_champion_experience_0, 18986
dmg_carry_0, 141
obj_carry_0, 141
team_comp_0_champ_1, Anivia
team_comp_0_champ_2, Kayn
team_comp_0_champ_3, Yasuo
team_comp_0_champ_4, Vayne
team_comp_0_champ_5, Sona
total_gold_earned_1, 68928
total_gold_spent_1, 65200
total_baron_kills_1, 0
total_dragon_kills_1, 2
total_inhibitor_kils_1, 1
total_kills_1, 45
total_deaths_1, 48
total_damage_dealt_to_champions_1, 113071
total_damage_dealt_to_objectives_1, 42624
total_damage_taken_1, 163750
average_vision_score_1, 34
total_wards_placed_1, 67
average_creep_score_1, 123
average_champion_experience_1, 15112
dmg_carry_1, 143
obj_carry_1, 143
team_comp_1_champ_1, Tryndamere
team_comp_1_champ_2, Vi
team_comp_1_champ_3, Nocturne
team_comp_1_champ_4, Xayah
team_comp_1_champ_5, Zyra
gameLengthMin, 0
dmg_to_champs_winner, 0
dmg_to_obj_winner, 0
vision_winner, 1
cs_winner, 0
champ_experience_winner, 0
wards_placed_winner, 0
gold_spender_winner, 0
final_match_winner, 0
