total_gold_earned_0, 64965
total_gold_spent_0, 50933
total_baron_kills_0, 1
total_dragon_kills_0, 4
total_inhibitor_kils_0, 3
total_kills_0, 38
total_deaths_0, 26
total_damage_dealt_to_champions_0, 131391
total_damage_dealt_to_objectives_0, 102407
total_damage_taken_0, 115780
average_vision_score_0, 30
total_wards_placed_0, 56
average_creep_score_0, 113
average_champion_experience_0, 15204
dmg_carry_0, 133
obj_carry_0, 133
team_comp_0_champ_1, Quinn
team_comp_0_champ_2, Warwick
team_comp_0_champ_3, Malphite
team_comp_0_champ_4, Ezreal
team_comp_0_champ_5, Shaco
total_gold_earned_1, 55984
total_gold_spent_1, 52375
total_baron_kills_1, 0
total_dragon_kills_1, 0
total_inhibitor_kils_1, 0
total_kills_1, 26
total_deaths_1, 38
total_damage_dealt_to_champions_1, 79867
total_damage_dealt_to_objectives_1, 22135
total_damage_taken_1, 158095
average_vision_score_1, 26
total_wards_placed_1, 52
average_creep_score_1, 126
average_champion_experience_1, 13453
dmg_carry_1, 114
obj_carry_1, 114
team_comp_1_champ_1, Fiora
team_comp_1_champ_2, Kayn
team_comp_1_champ_3, Sylas
team_comp_1_champ_4, MissFortune
team_comp_1_champ_5, Nautilus
gameLengthMin, 0
dmg_to_champs_winner, 0
dmg_to_obj_winner, 0
vision_winner, 0
cs_winner, 1
champ_experience_winner, 0
wards_placed_winner, 0
gold_spender_winner, 1
final_match_winner, 0
