total_gold_earned_0, 56397
total_gold_spent_0, 49585
total_baron_kills_0, 1
total_dragon_kills_0, 2
total_inhibitor_kils_0, 1
total_kills_0, 33
total_deaths_0, 20
total_damage_dealt_to_champions_0, 78358
total_damage_dealt_to_objectives_0, 68467
total_damage_taken_0, 92563
average_vision_score_0, 22
total_wards_placed_0, 62
average_creep_score_0, 91
average_champion_experience_0, 13077
dmg_carry_0, 75
obj_carry_0, 75
team_comp_0_champ_1, Nasus
team_comp_0_champ_2, Kindred
team_comp_0_champ_3, Fizz
team_comp_0_champ_4, Jinx
team_comp_0_champ_5, Karma
total_gold_earned_1, 45183
total_gold_spent_1, 42680
total_baron_kills_1, 0
total_dragon_kills_1, 2
total_inhibitor_kils_1, 0
total_kills_1, 20
total_deaths_1, 33
total_damage_dealt_to_champions_1, 65012
total_damage_dealt_to_objectives_1, 28738
total_damage_taken_1, 103924
average_vision_score_1, 15
total_wards_placed_1, 29
average_creep_score_1, 101
average_champion_experience_1, 10476
dmg_carry_1, 875
obj_carry_1, 875
team_comp_1_champ_1, Sett
team_comp_1_champ_2, Viego
team_comp_1_champ_3, Lux
team_comp_1_champ_4, Vayne
team_comp_1_champ_5, Lulu
gameLengthMin, 0
dmg_to_champs_winner, 0
dmg_to_obj_winner, 0
vision_winner, 0
cs_winner, 1
champ_experience_winner, 0
wards_placed_winner, 0
gold_spender_winner, 0
final_match_winner, 0
