total_gold_earned_0, 75199
total_gold_spent_0, 67725
total_baron_kills_0, 2
total_dragon_kills_0, 2
total_inhibitor_kils_0, 1
total_kills_0, 46
total_deaths_0, 46
total_damage_dealt_to_champions_0, 147595
total_damage_dealt_to_objectives_0, 65953
total_damage_taken_0, 183269
average_vision_score_0, 30
total_wards_placed_0, 61
average_creep_score_0, 136
average_champion_experience_0, 19109
dmg_carry_0, 113
obj_carry_0, 113
team_comp_0_champ_1, Sejuani
team_comp_0_champ_2, Diana
team_comp_0_champ_3, Malphite
team_comp_0_champ_4, Jinx
team_comp_0_champ_5, Velkoz
total_gold_earned_1, 79733
total_gold_spent_1, 73105
total_baron_kills_1, 0
total_dragon_kills_1, 4
total_inhibitor_kils_1, 2
total_kills_1, 46
total_deaths_1, 46
total_damage_dealt_to_champions_1, 162756
total_damage_dealt_to_objectives_1, 88260
total_damage_taken_1, 198278
average_vision_score_1, 28
total_wards_placed_1, 58
average_creep_score_1, 153
average_champion_experience_1, 19231
dmg_carry_1, 17
obj_carry_1, 17
team_comp_1_champ_1, Teemo
team_comp_1_champ_2, Warwick
team_comp_1_champ_3, Yone
team_comp_1_champ_4, Twitch
team_comp_1_champ_5, Morgana
gameLengthMin, 0
dmg_to_champs_winner, 1
dmg_to_obj_winner, 1
vision_winner, 0
cs_winner, 1
champ_experience_winner, 1
wards_placed_winner, 0
gold_spender_winner, 1
final_match_winner, 1
