total_gold_earned_0, 42575
total_gold_spent_0, 40225
total_baron_kills_0, 0
total_dragon_kills_0, 0
total_inhibitor_kils_0, 0
total_kills_0, 17
total_deaths_0, 29
total_damage_dealt_to_champions_0, 68083
total_damage_dealt_to_objectives_0, 22714
total_damage_taken_0, 95367
average_vision_score_0, 12
total_wards_placed_0, 28
average_creep_score_0, 95
average_champion_experience_0, 9908
dmg_carry_0, 81
obj_carry_0, 81
team_comp_0_champ_1, Sett
team_comp_0_champ_2, Shyvana
team_comp_0_champ_3, Ezreal
team_comp_0_champ_4, Akshan
team_comp_0_champ_5, Soraka
total_gold_earned_1, 49012
total_gold_spent_1, 44760
total_baron_kills_1, 1
total_dragon_kills_1, 3
total_inhibitor_kils_1, 0
total_kills_1, 29
total_deaths_1, 17
total_damage_dealt_to_champions_1, 74012
total_damage_dealt_to_objectives_1, 53314
total_damage_taken_1, 96582
average_vision_score_1, 18
total_wards_placed_1, 37
average_creep_score_1, 95
average_champion_experience_1, 11921
dmg_carry_1, 122
obj_carry_1, 122
team_comp_1_champ_1, Darius
team_comp_1_champ_2, Ekko
team_comp_1_champ_3, Garen
team_comp_1_champ_4, Nautilus
team_comp_1_champ_5, Teemo
gameLengthMin, 0
dmg_to_champs_winner, 1
dmg_to_obj_winner, 1
vision_winner, 1
cs_winner, 0
champ_experience_winner, 1
wards_placed_winner, 1
gold_spender_winner, 1
final_match_winner, 1
