total_gold_earned_0, 45797
total_gold_spent_0, 43350
total_baron_kills_0, 0
total_dragon_kills_0, 1
total_inhibitor_kils_0, 0
total_kills_0, 20
total_deaths_0, 29
total_damage_dealt_to_champions_0, 64564
total_damage_dealt_to_objectives_0, 21103
total_damage_taken_0, 83791
average_vision_score_0, 24
total_wards_placed_0, 51
average_creep_score_0, 106
average_champion_experience_0, 10692
dmg_carry_0, 43
obj_carry_0, 43
team_comp_0_champ_1, Karma
team_comp_0_champ_2, Kindred
team_comp_0_champ_3, Akshan
team_comp_0_champ_4, MissFortune
team_comp_0_champ_5, Leona
total_gold_earned_1, 55285
total_gold_spent_1, 49935
total_baron_kills_1, 1
total_dragon_kills_1, 3
total_inhibitor_kils_1, 1
total_kills_1, 28
total_deaths_1, 20
total_damage_dealt_to_champions_1, 60870
total_damage_dealt_to_objectives_1, 68326
total_damage_taken_1, 88560
average_vision_score_1, 22
total_wards_placed_1, 50
average_creep_score_1, 109
average_champion_experience_1, 12881
dmg_carry_1, 41
obj_carry_1, 41
team_comp_1_champ_1, Garen
team_comp_1_champ_2, Amumu
team_comp_1_champ_3, Gangplank
team_comp_1_champ_4, Jinx
team_comp_1_champ_5, Alistar
gameLengthMin, 0
dmg_to_champs_winner, 0
dmg_to_obj_winner, 1
vision_winner, 0
cs_winner, 1
champ_experience_winner, 1
wards_placed_winner, 0
gold_spender_winner, 1
final_match_winner, 1
